,deezer_id,genres,id,name,popularity,genre
884,4611283,[forro],1AL2GKpmRrKXkYIcASuRFa,Wesley Safadão,80,forro
885,214925,"[sertanejo, sertanejo pop, sertanejo universitario]",2FrLTuXGuFDzQsjKidB03W,João Neto & Frederico,64,sertanejo universitario
886,1063,"[chanson, french pop, french rock]",3K8EYZ4Ltg6ythgGZzrFXf,Marc Lavoine,53,chanson
887,1017,"[cabaret, chanson, french indie pop, french indietronica, french rock]",6y1aZyP40077De3neGJD2b,Alain Bashung,52,chanson
888,62,[],7sF6m3PpW6G6m6J2gzzmzM,U.S.A. For Africa,55,
889,390001,"[edm, electro house, glitch, glitch hop]",3a9qv6NLHnsVxJUtKOMHvD,The Glitch Mob,70,edm
890,9074712,"[modern alternative rock, modern rock]",5tFRohaO5yEsuJxmMnlCO9,Barns Courtney,67,modern rock
891,194029,"[latin, latin pop, merengue, pop reggaeton, tropical]",6w1XCiB8efbfnusJ2jzmvu,Proyecto Uno,55,latin
892,621,"[alternative rock, dance-punk, garage rock, indie rock, modern rock, new rave, rock, swedish hard rock, swedish indie rock]",4DToQR3aKrHQSSRzSz8Nzt,The Hives,61,rock
893,66472,"[dance pop, diva house, pop, post-teen pop, strut]",2SdOKxC1sSxEyv8JYERaNe,RuPaul,66,pop
894,4720,"[bossa nova, forro, mpb, samba]",3Bnq7jiU506HcPjRgQ43TM,Milton Nascimento,61,mpb
895,4458305,"[colombian indie, cumbia, latin rock]",2PfyKA4qhjkxUVkerTCxz0,Juan Pablo Vega,53,latin rock
896,244037,"[brega, forro, mpb]",3LNTNOb2Bhh0g0etnZEyNE,Guilherme Arantes,48,mpb
897,1070,"[alternative metal, alternative rock, nu metal, pop punk, pop rock, post-grunge, rap rock, rock]",3dXaa6jwM7B52GZpaJEIr5,Puddle Of Mudd,65,rock
898,413,"[glam rock, mellow gold, piano rock, rock, soft rock]",3PhoLpVuITZKcymswpck5b,Elton John,81,rock
899,6111,"[album rock, art rock, classic rock, dance rock, folk rock, glam rock, mellow gold, rock, soft rock, symphonic rock]",6i6WlGzQtXtz7GcC5H5st5,10cc,64,rock
900,971,"[folk, folk-pop, lilith, singer-songwriter]",7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,72,folk-pop
901,2992371,"[channel pop, post-teen pop, viral pop]",07r7OPIALkj6Icaoj4Kf5l,Madilyn Bailey,65,post-teen pop
902,17224,"[chanson, french rock]",6ADpAfFsO5dJadJoBKv3nz,Thomas Dutronc,46,chanson
903,892,"[permanent wave, pop]",4gzpq5DPGxSnKTe4SA8HAU,Coldplay,89,pop
904,75332,[motown],2iE18Oxc8YSumAU232n4rW,The Jackson 5,72,motown
905,36,"[bubblegum dance, dance pop, eurodance, europop]",6kBjAFKyd0he7LiA5GQ3Gz,Aqua,63,dance pop
906,2209,"[bow pop, dance rock, new wave pop]",4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,66,new wave pop
907,79501,"[neotango, rock en espanol, tango]",4Wk0MW9d5uu6WbAgRCuH4O,Bajofondo,48,rock en espanol
908,5765,"[funk metal, glam metal, grunge, hard rock, post-grunge, rock]",3XsgWn63EnA4wYZBjVyxjf,Ugly Kid Joe,53,rock
909,206,"[dance pop, hip hop, hip pop, indie r&b, neo soul, pop, r&b, urban contemporary]",0urTpYCsixqZwgNTkPJOJ4,Aaliyah,62,pop
